Category,Title,Datasource
Administration,Offices for Planning & Environment Cluster,P:\Corporate\Layers\Admin\Corporate\Offices_PlanningEnvironmentCluster_P.lyr
Administration,EPA Branches,P:\Corporate\Layers\Admin\Corporate\EPA_Branches_P.lyr
Administration,EPA Regions,P:\Corporate\Layers\Admin\Corporate\EPA_Regions_P.lyr
Administration,Regional Operations Branches,P:\Corporate\Layers\Admin\Corporate\OEH_RegionalOperationsBranches_P.lyr
Administration,Regional Operations Regions,P:\Corporate\Layers\Admin\Corporate\OEH_RegionalOperationsRegions_P.lyr
Administration,Heritage Division Regions,P:\Corporate\Layers\Admin\Corporate\OEH_HeritageDivisionRegions_P.lyr
Administration,NPWS Branches (July 2017),P:\Corporate\Layers\Admin\Corporate\NPWS_Branches_18July2017_P.lyr
Administration,NPWS Proposed Areas  (July 2017),P:\Corporate\Layers\Admin\Corporate\NPWS_AreasProposed_18July2017_P.lyr
Administration,PWG Regions ,P:\Corporate\Layers\Admin\Corporate\PWG_Regions_P.lyr
Administration,PWG Areas ,P:\Corporate\Layers\Admin\Corporate\PWG_Areas_P.lyr
Administration,Electorates - Federal  c.LPI,P:\Corporate\Layers\Admin\Statutory\ElectoralDivisionsFederal_P.lyr
Administration,Electorates - State  c.LPI,P:\Corporate\Layers\Admin\Statutory\ElectoralDistrictsState_P.lyr
Administration,Kangaroo Management Zones,P:\Corporate\Layers\Admin\Corporate\KangarooManagementZones_P.lyr
Administration,Land Councils c.LPI,P:\Corporate\Layers\Admin\Corporate\AboriginalLandCouncils_P.lyr
Administration,LGAs  c.LPI,P:\Corporate\Layers\Admin\Statutory\LGA_P.lyr
Administration,LGAs Pre-May 2016,P:\Corporate\Layers\Admin\Statutory\LGA_PreMay2016_P.lyr
Administration,Local Land Service Regions  c. DTI,P:\Corporate\Layers\Admin\Corporate\LocalLandServiceRegions_P.lyr
Administration,LEP Pre2006 Zones  c. DPE,P:\Corporate\Layers\Admin\Statutory\LEP_Pre2006_Zone_P.lyr
Administration,LEP Standard Instrument Zones  c.DPE,P:\Corporate\Layers\Admin\Statutory\LEP_SI_LandZoning_P.lyr
Administration,NSW Boundary,P:\Corporate\Layers\Admin\Statutory\NSW_P.lyr
Administration,Postal Areas ,P:\Corporate\Layers\Admin\Statutory\PostalAreasAust_P.lyr
Administration,SEPP 14 Coastal Wetland,P:\Corporate\Layers\Admin\Statutory\SEPP14_CoastalWetlands_P.lyr
Administration,SEPP 26 Littoral Rainforest ,P:\Corporate\Layers\Admin\Statutory\SEPP26_LittoralRainforest_P.lyr
Administration,SEPP 71 Coastal Protection,P:\Corporate\Layers\Admin\Statutory\SEPP71_CoastalProtection_P.lyr
Cultural,Aboriginal Sites [NFR],P:\Region\Layers\Cultural\AboriginalSites.lyr
Cultural,Aboriginal Places,P:\Corporate\Layers\Cultural\Aboriginal\AboriginalPlaces_P.lyr
Cultural,Aboriginal CoManagement Reserves,P:\Corporate\Layers\Cultural\Aboriginal\AboriginalCoManagementReserves_P.lyr
Cultural,Archaeological Surveys,P:\Corporate\Layers\Cultural\Aboriginal\ArchaeologicalSurveys_P.lyr
Cultural,European Sites,P:\Corporate\Layers\Cultural\Historic\EuropeanSites_P.lyr
Biodiversity,Atlas Threatened Fauna Live Link,P:\Corporate\Layers\Biodiversity\Fauna\AtlasThreatenedFaunaLiveLink_SDE.lyr
Biodiversity,Atlas Threatened Flora Live Link,P:\Corporate\Layers\Biodiversity\Flora\AtlasThreatenedFloraLiveLink_SDE.lyr
Biodiversity,Atlas Threatened Fauna,P:\Corporate\Layers\Biodiversity\Fauna\AtlasThreatenedFauna_P.lyr
Biodiversity,Atlas Threatened Flora,P:\Corporate\Layers\Biodiversity\Flora\AtlasThreatenedFlora_P.lyr
Biodiversity,Important Bird Areas of Australia,P:\Corporate\Layers\Biodiversity\Habitat\BirdAreasImportantAust_P.lyr
Biodiversity,Critical Habitat,P:\Corporate\Layers\Biodiversity\Habitat\CriticalHabitat_P.lyr
Biodiversity,Key Habitats & Corridors - North East,P:\Corporate\Layers\Biodiversity\Habitat\KeyHabitats&Corridors_NE_NSW_Group_P.lyr
Biodiversity,Key Habitats & Corridors - Nandewar,P:\Corporate\Layers\Biodiversity\Habitat\KeyHabitats&CorridorsNandewarGroup_P.lyr
Biodiversity,Wetlands (Kingsford) ,P:\Corporate\Layers\Biodiversity\Wetlands\WetlandsNSW_P.lyr
Biodiversity,Directory of Important Wetlands c.GA,P:\Corporate\Layers\Biodiversity\Wetlands\WetlandsImportantAust_P.lyr
Biodiversity,Ramsar Wetlands,P:\Corporate\Layers\Biodiversity\Wetlands\WetlandsRamsar_P.lyr
Imagery Indexes,ADS Mosaics Index,P:\Corporate\Layers\Admin\IndexMaps\IndexADS_Mosaics_P.lyr
Imagery Indexes,ADS 100k Map Name Index,P:\Corporate\Layers\Admin\IndexMaps\IndexTopographicMaps100K_Aust_P.lyr
Imagery Indexes,Orthophoto Index (Zone 56),P:\Corporate\Layers\Admin\IndexMaps\IndexOrthophotosZone56_P.lyr
Imagery Indexes,Landsat7 2000 Index,P:\Corporate\Layers\Admin\IndexMaps\IndexLandsat7_2000_P.lyr
Imagery Indexes,Landsat7 2002 Index,P:\Corporate\Layers\Admin\IndexMaps\IndexLandsat7_2002_P.lyr
Imagery Indexes,LiDAR Footprint,P:\Corporate\Layers\Admin\IndexMaps\IndexLidar_P.lyr
Imagery Indexes,SPOT5 2004 - 05 Index ,P:\Corporate\Layers\Admin\IndexMaps\IndexSPOT5_TileDates0405_P.lyr
Imagery Indexes,SPOT5 2007 - 08 Index,P:\Corporate\Layers\Admin\IndexMaps\IndexSPOT5_TileDates0708_P.lyr
Imagery Indexes,Topographic Map Index,P:\Corporate\Layers\Admin\IndexMaps\IndexTopographicMapsAll_P.lyr
Infrastructure,Built Up Areas  c.LPI,P:\Corporate\Layers\Infrastructure\Localities\BuiltUpArea_P.lyr
Infrastructure,Towns  c.LPI,P:\Corporate\Layers\Infrastructure\Localities\CityTownVillage_P.lyr
Infrastructure,Major Towns  c.LPI,P:\Corporate\Layers\Infrastructure\Localities\TownsMajor_P.lyr
Infrastructure,Major Towns (for statewide maps)  c.LPI,P:\Corporate\Layers\Infrastructure\Localities\TownsMajorStatewide_P.lyr
Infrastructure,Localities  c.LPI,P:\Corporate\Layers\Infrastructure\Localities\Places_P.lyr
Infrastructure,Roads 25k  c.LPI,P:\Corporate\Layers\Infrastructure\Transport\Roads25k_P.lyr
Infrastructure,Roads 250k  c.GA,P:\Corporate\Layers\Infrastructure\Transport\Roads250k_P.lyr
Infrastructure,AMS Roads,P:\Corporate\Layers\Infrastructure\Assets\AMS_RoadSection_P.lyr
Infrastructure,AMS Roads Fire Capacity,P:\Corporate\Layers\Infrastructure\Assets\AMS_RoadSectionFire_P.lyr
Infrastructure,AMS Visitor Areas,P:\Corporate\Layers\Infrastructure\Assets\AMS_VisitorArea_P.lyr
Infrastructure,AMS Lookouts,P:\Corporate\Layers\Infrastructure\Assets\AMS_Lookout_P.lyr
Infrastructure,AMS Facilities,P:\Corporate\Layers\Infrastructure\Assets\AMS_FacilityPoint_P.lyr
Infrastructure,AMS FMZ Transparent,P:\Corporate\Layers\Infrastructure\Assets\AMS_FireManagementZoneTransparent_P.lyr
Infrastructure,AMS FMZ,P:\Corporate\Layers\Infrastructure\Assets\AMS_FireManagementZone_P.lyr
Infrastructure,AMS Walking Tracks,P:\Corporate\Layers\Infrastructure\Assets\AMS_TrackSection_P.lyr
Infrastructure,AMS Signs,P:\Corporate\Layers\Infrastructure\Assets\AMS_Sign_P.lyr
Infrastructure,AMS Gates,P:\Corporate\Layers\Infrastructure\Assets\AMS_Gate_P.lyr
Infrastructure,Bicentennial National Trail,P:\Corporate\Layers\Infrastructure\Transport\BicentennialNationalTrail_P.lyr
Infrastructure,Railway Lines c. LPI,P:\Corporate\Layers\Infrastructure\Transport\Railway_P.lyr
Geology & Soils,Geology (250k) c.DPI,P:\Corporate\Layers\Geology\Structural\Geology250k_P.lyr
Geology & Soils,Acid Sulfate Soils (Risk),P:\Corporate\Layers\Soil\AcidSulfate\AcidSulfateSoilRisk_P.lyr
Geology & Soils,Acid Sulfate Soils (Planning) ,P:\Corporate\Layers\Soil\AcidSulfate\AcidSulfatePriorityManagementAreas_P.lyr
Land,Contours 10m,P:\Corporate\Layers\Land\Elevation\Contours10m_P.lyr
Land,Contours 20m,P:\Corporate\Layers\Land\Elevation\Contours20m_P.lyr
Land,Contours 100m,P:\Corporate\Layers\Land\Elevation\Contours100m_P.lyr
Land,Botanical Divisions,P:\Corporate\Layers\Land\LandClass\BotanicalDivisions_Aust_P.lyr
Land,IBRA Regions,P:\Corporate\Layers\Land\LandClass\IBRA_Aust_P.lyr
